air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
PM10,ug/m3,34.564,Industrial,2023,Spain,Southern Europe,86.41,ES,19.564
PM2.5,ug/m3,7.599,Traffic,2023,Norway,Scandinavia Europe,30.396,NO,2.599
NO2,ug/m3,4.963,Background,2023,Poland,Eastern Europe,12.4075,PL,0.0
NO2,ug/m3,16.493,Background,2023,Poland,Eastern Europe,41.2325,PL,6.4929999999999986
PM2.5,ug/m3,8.418,Traffic,2023,Norway,Scandinavia Europe,33.672,NO,3.4179999999999993
NO2,ug/m3,9.837,Background,2023,Norway,Scandinavia Europe,24.5925,NO,0.0
NO2,ug/m3,15.02,Traffic,2023,Spain,Southern Europe,37.55,ES,5.02
PM10,ug/m3,29.783,Industrial,2023,Spain,Southern Europe,74.4575,ES,14.783000000000001
PM10,ug/m3,21.498,Background,2023,Spain,Southern Europe,53.745,ES,6.498000000000001
PM2.5,ug/m3,13.808,Background,2023,Poland,Eastern Europe,55.232000000000006,PL,8.808
NO2,ug/m3,9.437,Background,2023,Poland,Eastern Europe,23.5925,PL,0.0
PM10,ug/m3,30.65,Industrial,2023,Spain,Southern Europe,76.625,ES,15.649999999999999
NO2,ug/m3,11.773,Background,2023,Poland,Eastern Europe,29.4325,PL,1.7729999999999997
PM10,ug/m3,38.336,Industrial,2023,Spain,Southern Europe,95.84,ES,23.336
NO2,ug/m3,20.883,Traffic,2023,Norway,Scandinavia Europe,52.2075,NO,10.883
NO2,ug/m3,14.023,Industrial,2023,Spain,Southern Europe,35.0575,ES,4.023
PM10,ug/m3,20.021,Background,2023,Spain,Southern Europe,50.0525,ES,5.021000000000001
PM2.5,ug/m3,4.803,Traffic,2023,Norway,Scandinavia Europe,19.212,NO,0.0
NO2,ug/m3,25.48,Traffic,2023,Poland,Eastern Europe,63.7,PL,15.48
NO2,ug/m3,10.583,Traffic,2023,Sweden,Scandinavia Europe,26.4575,SE,0.5830000000000002
NO2,ug/m3,10.004,Background,2023,Poland,Eastern Europe,25.01,PL,0.0039999999999995595
PM2.5,ug/m3,5.381,Traffic,2023,Norway,Scandinavia Europe,21.524,NO,0.3810000000000002
PM2.5,ug/m3,4.241,Background,2023,Norway,Scandinavia Europe,16.964,NO,0.0
NO2,ug/m3,19.729,Background,2023,Poland,Eastern Europe,49.3225,PL,9.729
PM10,ug/m3,19.782,Background,2023,Spain,Southern Europe,49.455,ES,4.782
PM10,ug/m3,24.215,Background,2023,Italy,Southern Europe,60.5375,IT,9.215
PM10,ug/m3,18.763,Background,2023,Spain,Southern Europe,46.9075,ES,3.7630000000000017
NO2,ug/m3,25.135,Background,2023,France,Western Europe,62.8375,FR,15.135000000000002
NO2,ug/m3,12.405,Background,2023,Poland,Eastern Europe,31.0125,PL,2.4049999999999994
PM10,ug/m3,17.985,Background,2023,Spain,Southern Europe,44.9625,ES,2.9849999999999994
PM2.5,ug/m3,9.354,Background,2023,Poland,Eastern Europe,37.416,PL,4.353999999999999
PM2.5,ug/m3,10.445,Background,2023,Poland,Eastern Europe,41.78,PL,5.445
PM10,ug/m3,30.047,Traffic,2023,Italy,Southern Europe,75.1175,IT,15.047
NO2,ug/m3,11.19,Background,2023,Poland,Eastern Europe,27.975,PL,1.1899999999999995
